Timestamp_s,Force,Respiration Rate,Step Rate,Steps
1733331033.2702324,-4.49041748046875,nan,nan,nan
1733331033.4447684,-4.487861633300781,nan,nan,nan
1733331033.5538046,-4.49041748046875,nan,nan,nan
1733331033.663059,-4.4929656982421875,nan,nan,nan
1733331033.771738,-4.498077392578125,nan,nan,nan
1733331033.8799644,-4.50830078125,nan,nan,nan
1733331033.9900177,-4.505744934082031,nan,nan,nan
1733331034.0988083,-4.515960693359375,nan,nan,nan
1733331034.2080023,-4.505744934082031,nan,nan,nan
1733331034.316717,-4.510856628417969,nan,nan,nan
1733331034.4262953,-4.5031890869140625,nan,nan,nan
1733331034.5351293,-4.510856628417969,nan,nan,nan
1733331034.6444037,-4.498077392578125,nan,nan,nan
1733331034.753634,-4.495521545410156,nan,nan,nan
1733331034.8620286,-4.49041748046875,nan,nan,nan
1733331034.9713871,-4.487861633300781,nan,nan,nan
1733331035.080158,-4.487861633300781,nan,nan,nan
1733331035.1899667,-4.487861633300781,nan,nan,nan
1733331035.2982752,-4.49041748046875,nan,nan,nan
1733331035.4079106,-4.487861633300781,nan,nan,nan
1733331035.5166917,-4.49041748046875,nan,nan,nan
1733331035.6247861,-4.4929656982421875,nan,nan,nan
1733331035.7337062,-4.505744934082031,nan,nan,nan
1733331035.8440297,-4.5031890869140625,nan,nan,nan
1733331035.9529839,-4.510856628417969,nan,nan,nan
1733331036.0613472,-4.505744934082031,nan,nan,nan
1733331036.1697001,-4.50830078125,nan,nan,nan
1733331036.278447,-4.50830078125,nan,nan,nan
1733331036.3874435,-4.505744934082031,nan,nan,nan
1733331036.4946074,-4.510856628417969,nan,nan,nan
1733331036.6037736,-4.510856628417969,nan,nan,nan
1733331036.712318,-4.510856628417969,nan,nan,nan
1733331036.8211346,-4.4929656982421875,nan,nan,nan
1733331036.9299777,-4.495521545410156,nan,nan,nan
1733331037.0386164,-4.495521545410156,nan,nan,nan
1733331037.1468008,-4.49041748046875,nan,nan,nan
1733331037.2560997,-4.487861633300781,nan,nan,nan
1733331037.3637793,-4.477638244628906,nan,nan,nan
1733331037.4728792,-4.4750823974609375,nan,nan,nan
