Timestamp_s,Breathing Rate
1733292973.5316923,36.767578125
1733292989.896376,10.0799560546875
1733293006.2668843,26.605224609375
1733293022.6521838,17.10205078125
1733293039.0380256,24.9481201171875
1733293055.3906002,13.8427734375
1733293071.759124,30.8258056640625
1733293088.1172183,9.4482421875
1733293104.4867644,18.42041015625
1733293120.8798556,23.162841796875
1733293137.2307117,20.2056884765625
1733293153.5850713,20.9930419921875
1733293170.004985,21.13037109375
1733293186.3913357,25.8636474609375
1733293202.7670016,26.8341064453125
